"method","fold","model","r2","rmse","mae","bias","block_size_m","predictor_set"
"random_split",3,"XGBoost",0.393483829642132,0.0333319053409108,0.0124230795913513,-0.00230666601403339,NA,"pruned_gpr"
"random_split",3,"SVM",0.283289659235989,0.0397412985864947,0.014171591403453,-0.00996822208542011,NA,"pruned_gpr"
"random_split",3,"Neural Network",0.447225509813255,0.0317863794650762,0.0121038080836707,-0.0022161407462964,NA,"pruned_gpr"
"random_split",3,"GPR",0.251302013381635,0.037187117549815,0.0135564237248116,-0.00423714843986981,NA,"pruned_gpr"
"random_split",3,"Ordinary Kriging",0.534093104961952,0.0296478021106067,0.00825467419503778,-0.00459635602263096,NA,"pruned_gpr"
"random_split",3,"Universal Kriging (env drift)",0.573664866636527,0.0283906434291317,0.00913676187649656,-0.00443619500025285,NA,"pruned_gpr"
"random_split",3,"GAM",0.308959225237574,0.0359788380212103,0.0133375858550535,-0.00522099054852759,NA,"pruned_gpr"
"random_split",3,"INLA",NA,NA,NA,NA,NA,"pruned_gpr"
"random_split",4,"Random Forest",0.487350296702038,0.0335551339571684,0.0164617437942712,-0.00669305419429929,NA,"pruned_gpr"
"random_split",4,"XGBoost",0.821671661726818,0.0169709937055924,0.00872766379104912,-0.00353812914473717,NA,"pruned_gpr"
"random_split",4,"SVM",0.40198727149271,0.0357311326581082,0.0157930121803194,-0.0124408834914725,NA,"pruned_gpr"
"random_split",4,"Neural Network",0.778381509169065,0.0186842873554393,0.0101491584837857,-0.00325879610010286,NA,"pruned_gpr"
"random_split",4,"GPR",0.564711248074238,0.0275384329781627,0.012267841976106,-0.00560437065493161,NA,"pruned_gpr"
"random_split",4,"Ordinary Kriging",0.759637746235699,0.0184758553757407,0.00684781060464788,-0.00280608733275881,NA,"pruned_gpr"
"random_split",4,"Universal Kriging (env drift)",0.831183919780513,0.0155283606410702,0.00835224151872152,-0.00173922304974234,NA,"pruned_gpr"
"random_split",4,"GAM",0.661211330735188,0.0251646274408499,0.0112403916207206,-0.0057668730287719,NA,"pruned_gpr"
"random_split",4,"INLA",NA,NA,NA,NA,NA,"pruned_gpr"
"random_split",5,"Random Forest",0.325662407186052,0.0214475686774521,0.0125234908336521,0.00354568421150342,NA,"pruned_gpr"
"random_split",5,"XGBoost",0.637302794761824,0.0149243179384379,0.00648601528439174,0.00123771087261526,NA,"pruned_gpr"
"random_split",5,"SVM",0.586177545395857,0.0174188436295293,0.00718143570408385,-0.00200354145314559,NA,"pruned_gpr"
"random_split",5,"Neural Network",0.629299296648945,0.0149455592751622,0.00672548038539756,0.000356404249799155,NA,"pruned_gpr"
"random_split",5,"GPR",0.581191581814582,0.0160230170205694,0.00879719632158768,0.00226591120269037,NA,"pruned_gpr"
"random_split",5,"Ordinary Kriging",0.850923498148261,0.0114532602524883,0.00572879392957568,0.00370521755199911,NA,"pruned_gpr"
"random_split",5,"Universal Kriging (env drift)",0.864287418474,0.0105816369184149,0.00556178329956972,0.00261456610419193,NA,"pruned_gpr"
"random_split",5,"GAM",0.543715655382032,0.0171099240327932,0.00855029552015115,0.00274884859484262,NA,"pruned_gpr"
"random_split",5,"INLA",NA,NA,NA,NA,NA,"pruned_gpr"
"spatial_block_1000m",1,"Random Forest",0.37140393059916,0.0143233352716663,0.0126172713834062,0.00982683671143471,1000,"all"
"spatial_block_1000m",1,"XGBoost",0.666294831118079,0.0243236255852961,0.0121896842999418,0.0101372422537244,1000,"all"
"spatial_block_1000m",1,"SVM",0.585181010215986,0.0325873296529783,0.0185338781510367,0.0115602296629211,1000,"all"
"spatial_block_1000m",1,"Neural Network",0.220179047106536,0.0506258491495637,0.0230105357970463,0.0179806399599332,1000,"all"
"spatial_block_1000m",1,"GPR",0.0919689715469759,0.013308635054766,0.0123112593148871,0.0042338841621514,1000,"all"
"spatial_block_1000m",1,"Ordinary Kriging",0.743060551470407,0.0176203310528965,0.0109424468731078,0.0103549704627011,1000,"all"
"spatial_block_1000m",1,"Universal Kriging (env drift)",0.216886884619324,206.718698358653,102.306119999879,22.1681265230503,1000,"all"
"spatial_block_1000m",1,"GAM",0.597850920445996,0.0245094210526101,0.0148151720487502,0.0119398135048089,1000,"all"
"spatial_block_1000m",1,"INLA",NA,NA,NA,NA,1000,"all"
"spatial_block_1000m",2,"Random Forest",0.0754985157821707,0.0304008996608954,0.0138609526445954,0.00319743180931141,1000,"all"
"spatial_block_1000m",2,"XGBoost",0.0832497934258206,0.0684135861733405,0.0300020879744678,0.026144582807989,1000,"all"
"spatial_block_1000m",2,"SVM",0.0970815862882475,0.0556150292407958,0.0262051786801677,0.0218723958578794,1000,"all"
"spatial_block_1000m",2,"Neural Network",0.277014101956377,0.0267345180379698,0.0127188025894189,0.00265799591290126,1000,"all"
"spatial_block_1000m",2,"GPR",0.00713484317411166,0.0311316969840024,0.0123523646663357,0.00090249168650517,1000,"all"
"spatial_block_1000m",2,"Ordinary Kriging",0.0820803550404609,0.058285177576716,0.0289143835414888,0.0245336687250599,1000,"all"
"spatial_block_1000m",2,"Universal Kriging (env drift)",0.00112020646826794,125.91589804197,36.7233512353166,-36.0614984243093,1000,"all"
"spatial_block_1000m",2,"GAM",0.191611833114415,0.0510487512017965,0.0236218307531933,0.0187044548015605,1000,"all"
"spatial_block_1000m",2,"INLA",NA,NA,NA,NA,1000,"all"
"spatial_block_1000m",3,"Random Forest",0.0232443480150901,0.0229054508142726,0.0115855162154931,0.00493257729009472,1000,"all"
"spatial_block_1000m",3,"XGBoost",0.929750270104079,0.00934740631321794,0.00604289130403536,0.00401729364192837,1000,"all"
"spatial_block_1000m",3,"SVM",0.57873686130885,0.0154462915116865,0.0085195895694013,0.0042812638774128,1000,"all"
"spatial_block_1000m",3,"Neural Network",0.919699688317728,0.0666578731178927,0.0146805264828433,0.0108955331254565,1000,"all"
"spatial_block_1000m",3,"GPR",0.00187937076672574,0.0237248575529424,0.0130326054335334,0.00655344466497199,1000,"all"
"spatial_block_1000m",3,"Ordinary Kriging",0.4553135296714,0.0188480230121947,0.0068728914958472,0.000125445808417441,1000,"all"
"spatial_block_1000m",3,"Universal Kriging (env drift)",0.294830128670118,122.408703309971,69.4729280020916,-57.4265037790436,1000,"all"
"spatial_block_1000m",3,"GAM",0.610712450971047,0.0179008505607314,0.00677281334371713,-0.00112203583476284,1000,"all"
"spatial_block_1000m",3,"INLA",NA,NA,NA,NA,1000,"all"
"spatial_block_1000m",4,"Random Forest",0.0338491809168841,0.00819780024346342,0.00680514816737674,0.00215120174863267,1000,"all"
"spatial_block_1000m",4,"XGBoost",0.174473427259035,0.0110273476731239,0.00585888233666885,-0.000555637634320061,1000,"all"
"spatial_block_1000m",4,"SVM",0.0574868885494212,0.00894329902406935,0.00620851412468963,0.000610620946939873,1000,"all"
"spatial_block_1000m",4,"Neural Network",1.96128875524315e-06,0.0333306200855967,0.0157886791805748,0.00281135540774093,1000,"all"
"spatial_block_1000m",4,"GPR",0.00225930690898031,0.00955728091075931,0.0081340814244763,0.00584996248229524,1000,"all"
"spatial_block_1000m",4,"Ordinary Kriging",NA,NA,NA,NA,1000,"all"
"spatial_block_1000m",4,"Universal Kriging (env drift)",NA,NA,NA,NA,1000,"all"
"spatial_block_1000m",4,"GAM",0.329665090099916,0.00614398254501113,0.0043526257973879,-0.000972830946687271,1000,"all"
"spatial_block_1000m",4,"INLA",NA,NA,NA,NA,1000,"all"
"spatial_block_1000m",5,"Random Forest",0.613717067128838,0.0570116519507515,0.0313307482803189,-0.0268636204647167,1000,"all"
"spatial_block_1000m",5,"XGBoost",0.539366768725753,0.0495387329388365,0.0258628591911643,-0.0228203654628922,1000,"all"
"spatial_block_1000m",5,"SVM",0.00923923603975692,81.976249104615,12.839422933412,12.791402772044,1000,"all"
"spatial_block_1000m",5,"Neural Network",0.00568924992869068,0.071258791041455,0.0468014173072468,-0.00373542999742939,1000,"all"
"spatial_block_1000m",5,"GPR",0.250311020858049,0.05700962305375,0.0315909639373014,-0.0253810952574578,1000,"all"
"spatial_block_1000m",5,"Ordinary Kriging",NA,NA,NA,NA,1000,"all"
"spatial_block_1000m",5,"Universal Kriging (env drift)",NA,NA,NA,NA,1000,"all"
"spatial_block_1000m",5,"GAM",0.00658028456945374,0.0803065618643286,0.0376079393596145,-0.0106294347612886,1000,"all"
"spatial_block_1000m",5,"INLA",NA,NA,NA,NA,1000,"all"
"spatial_block_1000m",1,"Random Forest",0.149477105731428,0.0176980753378786,0.0148930196187653,0.0115450873774171,1000,"pruned_gpr"
"spatial_block_1000m",1,"XGBoost",0.570680521977383,0.0458292327787827,0.0208604317287004,0.0182958288178162,1000,"pruned_gpr"
"spatial_block_1000m",1,"SVM",0.465516914260286,0.0401947265540809,0.0228005075684374,0.015034319275933,1000,"pruned_gpr"
"spatial_block_1000m",1,"Neural Network",0.468959979662588,0.0503811726523855,0.0264220733262346,0.0230726307725993,1000,"pruned_gpr"
"spatial_block_1000m",1,"GPR",0.499494841325242,0.0460068179804968,0.024731055907664,0.0136993916496016,1000,"pruned_gpr"
