"kernel","n_features","feature_set","nug_min","nug_max","mean_r2","sd_r2","mean_rmse","sd_rmse","n_folds_valid"
"matern52",10,"10",1e-04,100,0.455101842405033,0.272358800548162,0.0332607434578367,0.0207653566577198,5
"gaussian",5,"5",1e-04,10,0.454616329460002,0.320000097695652,0.0252541232018226,0.0226509073069679,5
"gaussian",15,"15",1e-08,100,0.451507586477263,0.298877395426956,0.0339376317776718,0.023161643722526,5
"gaussian",5,"5",1e-04,100,0.4504922025559,0.254971488997156,0.0288133394508954,0.020612043544918,5
"gaussian",15,"15",1e-06,100,0.445857012141267,0.282729175529124,0.0352562903341867,0.0244066009677108,5
"matern52",5,"5",1e-04,10,0.44403218454679,0.278441631852404,0.0240734914754505,0.0202011475896117,5
"matern32",20,"20",1e-04,10,0.442525412429961,0.287710692563376,0.032678711036359,0.0235652221963794,5
"gaussian",10,"10",1e-06,10,0.441652231435053,0.285227333891716,0.026054921701597,0.0228842317402672,5
"matern52",15,"15",1e-04,10,0.437826062668787,0.320641242875414,0.0350585622019022,0.0247898283144864,5
"matern32",10,"10",1e-06,100,0.434339773965359,0.176374516401813,0.023224266613849,0.0164331330484282,5
"matern32",10,"10",1e-08,10,0.429027058970155,0.28152789399387,0.0287250743033931,0.0206029830712028,5
"gaussian",15,"15",1e-04,10,0.423646314327363,0.304338470848751,0.0278374536722665,0.0257152632561726,5
"matern32",15,"15",1e-04,100,0.415294833708085,0.208737766312183,0.0364125531559925,0.023279627617581,5
"matern32",20,"20",1e-08,10,0.411967762613549,0.168966961581685,0.0308477354100665,0.0177524168733271,5
"matern52",10,"10",1e-04,10,0.404883330463606,0.158663418787914,0.034216003239608,0.0197343880498016,5
"matern32",20,"20",1e-06,10,0.404488889250665,0.258919904426648,0.0280585790082281,0.0232876461201585,5
"matern52",20,"20",1e-08,10,0.399856488741722,0.232691170822427,0.0366889240814144,0.0226434386574867,5
"gaussian",5,"5",1e-08,10,0.396526057084029,0.282918601895191,0.0246567591528302,0.0212226539774602,5
"gaussian",10,"10",1e-08,10,0.392781766033429,0.259963066478741,0.0274544668583449,0.0200968977527508,5
"matern52",25,"25",1e-06,100,0.374762151438774,0.413123225300624,0.0289165204232495,0.0269015690296652,5
"matern32",25,"25",1e-08,10,0.373904710246282,0.33434537762845,0.0303936782554649,0.0275788810385881,5
"matern32",25,"all",1e-08,100,0.365195429128863,0.418032164162188,0.0292708866445949,0.0271844111482696,5
"gaussian",20,"20",1e-04,100,0.361397415792066,0.321957479156673,0.0356330634386081,0.025263192248684,5
"matern52",10,"10",1e-06,10,0.342896962228752,0.191446739661508,0.0331258206641116,0.0183339982238566,5
"matern32",25,"25",1e-04,100,0.339904631945177,0.377878260733239,0.0292801140751997,0.0267017636593913,5
"matern52",20,"20",1e-06,100,0.334540755924714,0.230775103908116,0.0368318845502717,0.0220430264255808,5
