"method","model","predictor_set","n_folds","mean_r2","sd_r2","mean_rmse","sd_rmse","mean_mae","sd_mae","mean_bias","sd_bias"
"random_split","SVM","pruned_gpr",5,0.41663593769289,0.150785560869358,0.0251264967815091,0.0133225503612937,0.0107770096892664,0.00454757252512021,-0.00584818085075849,0.00516213283667905
"random_split","Universal Kriging (env drift)","all",5,0.00159390419835371,0.00137013060768949,246.36649778721,262.539834898233,33.3579038008007,29.0132712590375,-8.91998570287631,43.8119096010202
"random_split","Universal Kriging (env drift)","pruned_gpr",5,0.581356737370401,0.345137974250875,0.626543690250976,1.35773882241402,0.090657145503743,0.184876971214766,0.0833204179833243,0.187234359865828
"random_split","XGBoost","all",5,0.749847335649531,0.289252160995511,0.0136800396997655,0.00829442337690337,0.00547890838576826,0.00130374466459928,0.000257173694949435,0.00266673065122715
"random_split","XGBoost","pruned_gpr",5,0.566494432208338,0.176523339655122,0.0191807687932637,0.00850397269853613,0.00861168557197209,0.00261216166349119,4.50769436249947e-05,0.00278555263240994
"spatial_block_10000m","GAM","all",5,0.165364247562109,0.201159982970204,96.7793362097615,216.317079409973,11.9698832066237,26.7293152546928,11.9569467680758,26.730889777561
"spatial_block_10000m","GAM","pruned_gpr",5,0.301338226682283,0.187885395760404,0.0223096080424537,0.013896293902418,0.0112753784234798,0.00705922462820223,-0.00207442049384117,0.00711301007728026
"spatial_block_10000m","GPR","all",5,0.216221749901556,0.162261597360914,0.030281273421427,0.0195106077363718,0.0180742275498869,0.0098143283941024,0.00425405903529294,0.0167620031684109
"spatial_block_10000m","GPR","pruned_gpr",5,0.245122816442048,0.306475535586638,0.0221321594078674,0.0138239375019805,0.0126707430973567,0.00700954295097532,-0.000760913496385041,0.00850128913224282
"spatial_block_10000m","INLA","all",5,NA,NA,NA,NA,NA,NA,NA,NA
"spatial_block_10000m","INLA","pruned_gpr",5,NA,NA,NA,NA,NA,NA,NA,NA
"spatial_block_10000m","Neural Network","all",5,0.227388986493719,0.215091192842976,0.0654391511942153,0.046868060606504,0.0389751903948127,0.0331111198914598,0.0223698925633991,0.0269131383504613
"spatial_block_10000m","Neural Network","pruned_gpr",5,0.291317210937945,0.272951376276958,0.0242669189181459,0.0184677359525098,0.0155942202583026,0.0112273250023482,-0.000677613572405786,0.0115603304666289
"spatial_block_10000m","Ordinary Kriging","all",5,0.348512198146672,0.254536444442422,0.0233735936354817,0.0179647046885014,0.0121716803895626,0.00836433126054398,-0.00215225074141704,0.0113894259763568
"spatial_block_10000m","Ordinary Kriging","pruned_gpr",5,0.348512198146672,0.254536444442422,0.0233735936354817,0.0179647046885014,0.0121716803895626,0.00836433126054398,-0.00215225074141704,0.0113894259763568
"spatial_block_10000m","Random Forest","all",5,0.146693056887572,0.217334861238323,0.025695746046545,0.0183975315198354,0.0150063979618843,0.00842527093939618,-0.001095428716235,0.0126628863323114
"spatial_block_10000m","Random Forest","pruned_gpr",5,0.201902585537398,0.219822480793421,0.0262279975549363,0.018299502976295,0.0159427494310181,0.00875283305208689,-0.000405862611024628,0.013719731394458
"spatial_block_10000m","SVM","all",5,0.252992661290564,0.206573547696306,0.0375475974098462,0.0208344534655369,0.0153793428176764,0.00681604132119965,-0.00296652841996779,0.0111693820766888
"spatial_block_10000m","SVM","pruned_gpr",5,0.0906391555025316,0.0887170585911704,0.0516397921217126,0.0396651728422973,0.0206592544344572,0.0109740410095223,-0.00932503931590814,0.0181748145132843
"spatial_block_10000m","Universal Kriging (env drift)","all",5,0.13433895434889,0.266886673820882,313.630985223228,379.832823649841,172.220055527113,261.078560016174,-144.181528915251,275.130922277641
"spatial_block_10000m","Universal Kriging (env drift)","pruned_gpr",5,0.223750902169856,0.142387560610117,0.0411917905534325,0.0126675386208565,0.02360452418319,0.00945395819453136,-0.00595402385100192,0.0108609410194976
"spatial_block_10000m","XGBoost","all",5,0.354328552946983,0.238517283540247,0.0270843087871341,0.0188032336538192,0.0137192650587352,0.00702016005894059,0.00269062363476705,0.0113655920898999
"spatial_block_10000m","XGBoost","pruned_gpr",5,0.403805430644474,0.246663698799083,0.0228949487097047,0.0167541582749516,0.0127787086797997,0.00767958562003526,0.00102945766475393,0.0110026900797153
"spatial_block_1000m","GAM","all",5,0.347284115840165,0.261152063767371,0.0359819134448955,0.0297511726432655,0.0174340762605326,0.0135731222501826,0.00358399335272613,0.0116552668566739
"spatial_block_1000m","GAM","pruned_gpr",5,0.413615713600979,0.249659994199882,0.0328000133893775,0.0218551192662884,0.0157940338779342,0.00981016960846964,0.00213958452128863,0.0170845085817942
"spatial_block_1000m","GPR","all",5,0.0707107026509685,0.107440011207122,0.026946418711244,0.0188418584696515,0.0154842549553068,0.00921056931815118,-0.00156826245230681,0.0134890022354825
"spatial_block_1000m","GPR","pruned_gpr",5,0.408916345791894,0.263209522200698,0.0297019918616053,0.0189186090203532,0.0164395309635157,0.00940641806325634,0.000575824710534082,0.0136597615629484
"spatial_block_1000m","INLA","all",5,NA,NA,NA,NA,NA,NA,NA,NA
"spatial_block_1000m","INLA","pruned_gpr",5,NA,NA,NA,NA,NA,NA,NA,NA
"spatial_block_1000m","Neural Network","all",5,0.284516809719617,0.376279960489068,0.0497215302864956,0.0196759737450503,0.022599992271426,0.0140768191868832,0.00612201888172051,0.00841936129233218
"spatial_block_1000m","Neural Network","pruned_gpr",5,0.432640877812034,0.294311852853834,0.0363185309370922,0.0197254750771313,0.0195506174695767,0.00927628068612638,0.00303026463850603,0.0187647948501932
"spatial_block_1000m","Ordinary Kriging","all",5,0.426818145394089,0.331410161600359,0.031584510547269,0.0231316022304936,0.015576573970148,0.0117287336640901,0.0116713616653928,0.0122572427909388
"spatial_block_1000m","Ordinary Kriging","pruned_gpr",5,0.426818145394089,0.331410161600359,0.031584510547269,0.0231316022304936,0.015576573970148,0.0117287336640901,0.0116713616653928,0.0122572427909388
"spatial_block_1000m","Random Forest","all",5,0.223542608488429,0.260825191339609,0.0265678275882098,0.0189889269292829,0.0152399273382381,0.00938342467290685,-0.00135111458104864,0.0145625790043454
"spatial_block_1000m","Random Forest","pruned_gpr",5,0.16079232412491,0.155235701219176,0.0275550798271283,0.0181024498873865,0.0166753858393243,0.00903849710079984,3.8540562741142e-05,0.0149361818474056
"spatial_block_1000m","SVM","all",5,0.265545116480452,0.290524123420014,16.4177682108089,36.6483093937452,2.57977801878746,5.73532147043682,2.56594545647784,5.7162101778899
"spatial_block_1000m","SVM","pruned_gpr",5,0.146790563345757,0.188050277956548,0.0321956062309505,0.0190597007985682,0.017087134032949,0.0105117614414198,-0.00344575931928073,0.0165519435125363
"spatial_block_1000m","Universal Kriging (env drift)","all",5,0.170945739919237,0.152149009797041,151.681099903532,47.6962056824487,69.5007997457625,32.7913932661011,-23.7732918934342,41.1955860261853
"spatial_block_1000m","Universal Kriging (env drift)","pruned_gpr",5,0.1911456586466,0.163482598241029,0.0690747723534897,0.0549125525291547,0.0374384953521735,0.0252489410952607,0.0224296518345066,0.0265107911446694
"spatial_block_1000m","XGBoost","all",5,0.478627018126553,0.350447310754525,0.032530139736763,0.0257102607966053,0.0159912810212556,0.0112898058635369,0.00338462312128591,0.0177921400033476
"spatial_block_1000m","XGBoost","pruned_gpr",5,0.488291245282722,0.280696409625783,0.0285430097719595,0.0202420276663065,0.0148979913394149,0.00918181854200126,0.000807139096065718,0.0152017415165179
"spatial_block_1e+05m","GAM","all",5,0.0254038907312788,0.017760410470321,0.637140486083107,1.35108255094384,0.115037811446832,0.226342783597201,0.0953291472904031,0.203912206006197
"spatial_block_1e+05m","GAM","pruned_gpr",5,0.285945511343297,0.148971336899654,0.0597071109833755,0.0769747376784071,0.0392020420431236,0.0526775335447939,0.0304607946479389,0.054133760630855
"spatial_block_1e+05m","GPR","all",5,0.00537630426828029,0.00383409194002528,0.0251827198515178,0.0197049954528223,0.0156300184787281,0.00860132850842375,0.00038719954798124,0.0118106591452226
"spatial_block_1e+05m","GPR","pruned_gpr",5,0.234157104497699,0.257576927440332,0.0322200478836851,0.0236925423774934,0.0202343938462098,0.016691160699609,0.00567117976979451,0.0218956291349619
"spatial_block_1e+05m","INLA","all",5,NA,NA,NA,NA,NA,NA,NA,NA
"spatial_block_1e+05m","INLA","pruned_gpr",5,NA,NA,NA,NA,NA,NA,NA,NA
"spatial_block_1e+05m","Neural Network","all",5,0.0693665747666647,0.0619974253113463,0.0686205081985955,0.0588441897372202,0.0424100310404629,0.0370696178949199,0.0163611961403887,0.0387376975298531
"spatial_block_1e+05m","Neural Network","pruned_gpr",5,0.0424161610022754,0.0426478733081731,0.0344272719712203,0.02388637433248,0.0236825716665942,0.0166686228790982,-0.0052132300635907,0.0219598332405714
"spatial_block_1e+05m","Ordinary Kriging","all",5,0.542061404854964,0.33396247821775,0.00845467317363758,0.00370365474913495,0.00701128684031523,0.00391273773098126,0.0035441282311597,0.00749581119694501
"spatial_block_1e+05m","Ordinary Kriging","pruned_gpr",5,0.542061404854964,0.33396247821775,0.00845467317363758,0.00370365474913495,0.00701128684031523,0.00391273773098126,0.0035441282311597,0.00749581119694501
