"model","rmse_increase","variable","cum_rmse","total_rmse","cum_frac","keep","permutation_keep_frac"
"Random Forest",-0.000204458387751311,"daily_std_wave_height_mean_m",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000213262960105605,"s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000213651527850779,"sw_ke_mean_cm2_s2",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000234203206787426,"bottomt_p95_daily_c",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000269320244494747,"s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000359998757458083,"bottomt_mean_daily_c",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"SVM",24.5638952855393,"surf_spco2_mean_uatm",24.5638952855393,29.0170799649783,0.846532294606705,TRUE,0.95
"SVM",4.45318467943896,"nppv_mean_monthly_0.5m_mg_m3_day",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-4.04000765193058,"s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-8.64981468329111,"surf_fgco2_mean_molc_m2_yr",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-22.6300485930221,"fe_mean_monthly_1.5m_mmol_m3",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-34.7668074141453,"sw_ke_mean_cm2_s2",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-44.2546110115331,"s3a_olci_errnt.20160425_20241231.l3m.cu.chl.chlor_a.4km",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-44.3453057083687,"s3a_olci_errnt.20160425_20241231.l3m.cu.iop.adg_443.4km",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-48.5883432983255,"uo_p90_1.5m_m_s",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-51.8399152896048,"s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-52.0871939690899,"spco2_monthly_mean_pa",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-55.1223358282957,"daily_std_wave_height_mean_m",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-56.279114774686,"vo_mean_1.5m_m_s",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-56.8812385033666,"phyc_mean_monthly_0.5m_mmol_m3",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3135034154206,"vo_p90_1.5m_m_s",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3144081371343,"ph_mean_monthly_1.5m",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3172026210619,"ph_p05_monthly_1.5m",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3254368131517,"bottomt_mean_daily_c",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3282611121774,"spco2_monthly_p95_pa",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3285090162632,"bottomt_p95_daily_c",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3299821570981,"no_sig_wave_heights_mean",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.331980733767,"wave_height_p95_m",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3321512628207,"no3_mean_monthly_1.5m_mmol_m3",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3335582905482,"gebco_2025_n61.0_s34.0_w_10.0_e35.0",29.0170799649783,29.0170799649783,1,FALSE,0.95
"SVM",-58.3336093128902,"surf_spco2_p95_uatm",29.0170799649783,29.0170799649783,1,FALSE,0.95
"Universal Kriging (env drift)",853.054804925524,"vo_p90_1.5m_m_s",853.054804925524,1373.62791515923,0.621023201051237,TRUE,0.95
"Universal Kriging (env drift)",262.963271259601,"surf_spco2_mean_uatm",1116.01807618512,1373.62791515923,0.812460247690696,TRUE,0.95
"Universal Kriging (env drift)",165.594507714362,"no_sig_wave_heights_mean",1281.61258389949,1373.62791515923,0.93301291401822,TRUE,0.95
"Universal Kriging (env drift)",87.8977051509615,"surf_fgco2_mean_molc_m2_yr",1369.51028905045,1373.62791515923,0.997002371556852,FALSE,0.95
"Universal Kriging (env drift)",4.11762610878387,"fe_mean_monthly_1.5m_mmol_m3",1373.62791515923,1373.62791515923,1,FALSE,0.95
"Universal Kriging (env drift)",-55.5673151667659,"sw_ke_mean_cm2_s2",1373.62791515923,1373.62791515923,1,FALSE,0.95
"Universal Kriging (env drift)",-60.5259124009386,"nppv_mean_monthly_0.5m_mg_m3_day",1373.62791515923,1373.62791515923,1,FALSE,0.95
"Universal Kriging (env drift)",-61.1276605830303,"uo_p90_1.5m_m_s",1373.62791515923,1373.62791515923,1,FALSE,0.95
"Universal Kriging (env drift)",-77.1229834274001,"surf_spco2_p95_uatm",1373.62791515923,1373.62791515923,1,FALSE,0.95
"Universal Kriging (env drift)",-77.6678721239905,"daily_std_wave_height_mean_m",1373.62791515923,1373.62791515923,1,FALSE,0.95
